Title,Year,Authors,Journal/Source,Citations,Open Access,DOI,Topics,Countries,Abstract Length
Russian foreign policy: the return of great power politics,2009,Jeffrey Mankoff,Choice Reviews Online,264,No,https://doi.org/10.5860/choice.47-1675,European Politics and Security; Russia and Soviet political economy; European and Russian Geopolitical Military Strategies,,62
Imperial Russian foreign policy,1993,Hugh Ragsdale; Valerii Nikolaevich Ponomarev,,95,No,,European and Russian Geopolitical Military Strategies; Russia and Soviet political economy,,134
"Putin, Putinism, and the Domestic Determinants of Russian Foreign Policy",2020,Michael McFaul,International Security,91,Yes,https://doi.org/10.1162/isec_a_00390,International Relations and Foreign Policy; Russia and Soviet political economy; Political Conflict and Governance,,78
"Russian Foreign Policy: Interests, Vectors, and Sectors",2014,Nikolas K. Gvosdev; Christopher Marsh,CQ Press eBooks,81,No,https://doi.org/10.4135/9781506335391,Russia and Soviet political economy,,28
Internal Factors in Russian Foreign Policy,1996,Neil Malcolm; Alex Pravda; Roy Allison; Margot Light,,70,No,https://doi.org/10.1093/oso/9780198280118.001.0001,Russia and Soviet political economy; International Relations and Foreign Policy,,115
"Russian foreign policy in the post-Soviet era: reality, illusion and mythmaking",2003,,Choice Reviews Online,98,No,https://doi.org/10.5860/choice.40-4865,Russia and Soviet political economy; Post-Soviet Geopolitical Dynamics; European Politics and Security,,27
Russian Foreign Policy in the Post-Soviet Era,2002,Bobo Lo,Palgrave Macmillan UK eBooks,75,No,https://doi.org/10.1057/9781403920058,Russia and Soviet political economy,RU,27
Russian Foreign Policy in the Twenty-first Century and the Shadow of the Past,2007,Robert Legvold,Columbia University Press eBooks,80,No,https://doi.org/10.7312/legv14122,Russia and Soviet political economy; European and Russian Geopolitical Military Strategies; Post-Soviet Geopolitical Dynamics,,71
Russian Foreign Policy: Sources and Implications,2009,Olga Oliker; Keith Crane; Lowell H. Schwartz; Catherine Yusupov,Defense Technical Information Center (DTIC),78,No,,Russia and Soviet political economy,,166
Russian Foreign Policy and the West,1999,Paul Kubiček,Political Science Quarterly,56,No,https://doi.org/10.2307/2657783,International Relations and Foreign Policy; Post-Soviet Geopolitical Dynamics; European and Russian Geopolitical Military Strategies,,71
The Uses of Sovereignty in Twenty-first Century Russian Foreign Policy,2016,Ruth Deyermond,Europe Asia Studies,61,Yes,https://doi.org/10.1080/09668136.2016.1204985,Global Peace and Security Dynamics; International Relations and Foreign Policy; Post-Soviet Geopolitical Dynamics,GB,73
The Wilsonian Bias in the Study of Russian Foreign Policy,2018,Seva Gunitsky; Andreï P. Tsygankov,Problems of Post-Communism,48,No,https://doi.org/10.1080/10758216.2018.1468270,International Relations and Foreign Policy; Russia and Soviet political economy; European and Russian Geopolitical Military Strategies,"CA, US",83
Bringing Transnational Relations Back In,1995,Thomas Risse; Thomas Risse; Thomas Risse; Thomas Risse; David R. Cameron ... (+7 more),Cambridge University Press eBooks,1067,No,https://doi.org/10.1017/cbo9780511598760,Global Peace and Security Dynamics; Russia and Soviet political economy; International Relations and Foreign Policy,DE,86
Misunderstanding Russia: Russian Foreign Policy and the West,2014,Magda Leichtová,Medical Entomology and Zoology,39,Yes,,Russia and Soviet political economy,,37
The Multilateral Dimension in Russian Foreign Policy,2008,,,45,No,https://doi.org/10.4324/9780203890554,Russia and Soviet political economy; European Politics and Security; Post-Soviet Geopolitical Dynamics,,110
Contemporary Russian Messianism and New Russian Foreign Policy,2014,Maria Engström,Contemporary Security Policy,117,No,https://doi.org/10.1080/13523260.2014.965888,European and Russian Geopolitical Military Strategies,RU,132
Understanding Putin: The politics of identity and geopolitics in Russian foreign policy discourse,2017,Kari Roberts,International Journal Canada s Journal of Global Policy Analysis,58,No,https://doi.org/10.1177/0020702017692609,European and Russian Geopolitical Military Strategies; International Relations and Foreign Policy; European Politics and Security,CA,115
Russian Foreign Policy in the Realm of European Security through the Lens of Neoclassical Realism,2011,Elena Kropatcheva,Journal of Eurasian Studies,56,Yes,https://doi.org/10.1016/j.euras.2011.10.004,International Relations and Foreign Policy; European and Russian Geopolitical Military Strategies; Post-Soviet Geopolitical Dynamics,DE,102
Internal factors in Russian foreign policy,1997,,Choice Reviews Online,37,No,https://doi.org/10.5860/choice.34-5928,Russia and Soviet political economy; International Relations and Foreign Policy; European and Russian Geopolitical Military Strategies,,114
Conceptualizing sovereignty in Russian foreign policy: Realist and constructivist perspectives,2012,Charles E. Ziegler,International Politics,62,No,https://doi.org/10.1057/ip.2012.7,International Relations and Foreign Policy; European and Russian Geopolitical Military Strategies; Political Conflict and Governance,US,0
Putin's propaganda machine: soft power and Russian foreign policy,2016,,Choice Reviews Online,121,No,https://doi.org/10.5860/choice.195918,European Politics and Security,,112
Russian Foreign Policy: The Return of Great Power Politics,2012,Benedikt Harzl,Review of Central and East European Law,109,No,https://doi.org/10.1163/092598812x13274154886665,Russia and Soviet political economy,,0
Russian Foreign Policy in the 21st Century,2010,,Palgrave Macmillan UK eBooks,38,No,https://doi.org/10.1057/9780230293168,Russia and Soviet political economy; Post-Soviet Geopolitical Dynamics,,99
"From Russia with Lols: Humour, RT, and the Legitimation of Russian Foreign Policy",2020,Rhys Crilley; Precious Chatterje‐Doody,Global Society,52,Yes,https://doi.org/10.1080/13600826.2020.1839387,Global Security and Public Health; Media Studies and Communication; Public Relations and Crisis Communication,GB,95
